Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampleC10.mzML
P15151;P15151-2;P15151-3;P15151-4	P15151;P15151-2;P15151-3;P15151-4				2.07093e+06
P15169	P15169				1.14736e+06
P15259	P15259				66540.9
P15289;P15289-2	P15289;P15289-2				493353
P15291;P15291-2	P15291;P15291-2				715009
P15509;P15509-2;P15509-3;P15509-5;P15509-7	P15509;P15509-3;P15509-2;P15509-5;P15509-7;P15509-8				572298
P15531;P15531-2;P22392;P22392-2	P15531;P22392;P22392-2;P15531-2				460379
P15586;P15586-2	P15586;P15586-2				2.09841e+06
P15814	P15814				3.13009e+06
P15848;P15848-2	P15848;P15848-2				65727.8
P16035	P16035				1.08755e+07
