Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
P07996	P07996				3.16572e+06
P07998	P07998				4.52914e+07
P08123	P08123				2.33967e+07
P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7	P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7				3.03965e+06
P08185	P08185				7.88757e+07
P08195;P08195-2;P08195-3;P08195-4;P08195-5	P08195;P08195-4;P08195-2;P08195-3;P08195-5				5.13209e+06
P08238	P08238;Q58FF7				222551
P08253	P08253;P08253-2;P08253-3				1.88291e+07
P08294	P08294				5.2307e+07
P08493;P08493-2	P08493;P08493-2				2.12626e+07
P08519	P08519				312422
P08571	P08571				1.45212e+08
P08572	P08572				2.75772e+06
P08581;P08581-2	P08581;P08581-2				3.09349e+06
P08582	P08582				1.48173e+06
P08603	P08603				1.50006e+08
P08637	P08637				1.584e+07
P08670	P08670				2.19093e+06
P08697	P08697;P08697-2				3.73374e+08
P08758	P08758				1.53243e+06
P08779	P02533;P08779;P13646;P19012;P35900;Q04695;P13646-3;P19012-2				927762
P08833	P08833				207934
P08949;P08949-2	P08949;P08949-2				239907
P09104	P09104;P09104-2				6.84307e+06
P09172	P09172				643132
P09211	P09211				5.96088e+06
P09382	P09382				1.11943e+07
P09417;P09417-2	P09417;P09417-2				8.04106e+06
P09455;P09455-2;P09455-3	P09455;P09455-2;P09455-3				3.7772e+06
P09486	P09486				4.53021e+07
P09493;P09493-10;P09493-2;P09493-3;P09493-4;P09493-5;P09493-6;P09493-7;P09493-8;P09493-9	P09493;P09493-10;P09493-5;P09493-2;P09493-3;P09493-4;P09493-6;P09493-7;P09493-8;P09493-9				671812
P09603	P09603				3.6745e+07
P09619	P09619;P09619-2				3.15887e+06
P09622;P09622-3	P09622;P09622-2;P09622-3				201303
P09668	P09668				1.53097e+07
P09871	P09871				1.15571e+08
P09936	P09936				1.70468e+06
P09958	P09958				896044
P09960;P09960-2;P09960-3;P09960-4	P09960;P09960-2;P09960-3;P09960-4				396499
P09972	P09972				2.7631e+07
P0C0L4;P0C0L4-2	P0C0L4;P0C0L4-2				1.01691e+08
P0C0L5	P0C0L4;P0C0L5;P0C0L4-2				2.9333e+08
P0C6S8	P0C6S8				1.02077e+06
P0CG47;P0CG48;P62979;P62987	P0CG47;P0CG48;P62979;P62987				1.98517e+08
P0DJI8	P0DJI8;P0DJI9;P0DJI9-2				3.62629e+06
P0DMQ5	P0DMQ5				9.7935e+06
P0DMV8;P0DMV8-2;P0DMV9	P0DMV8;P0DMV9;P0DMV8-2				7.93442e+06
P0DOX2	P01876;P01877;P01876-1;P01877-1;P0DOX2				4.12264e+08
