Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
O60243	O60243				806851
O60245;O60245-2	O60245;O60245-2				2.27918e+06
O60279	O60279				4.04871e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.77543e+06
O60476	O60476				1.51967e+06
O60565	O60565				129015
O60568	O60568				1.36545e+06
O60613	O60613				414221
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				725156
O60883	O60883				1.14321e+08
O60888-3	O60888;O60888-2;O60888-3				1.04707e+07
O60939	O60939				2.96731e+06
O75063	O75063				867065
O75071	O75071				1.93764e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				3.40919e+06
O75078	O75078;O75078-2				2.2605e+06
O75084;Q14332	O75084;Q14332				156074
O75144;O75144-2	O75144;O75144-2;O75144-3				6.80811e+06
O75173;O75173-2	O75173;O75173-2				7.24971e+06
O75223	O75223				101125
O75326	O75326;O75326-2				3.08228e+07
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				663542
O75368	O75368				927405
O75493	O75493				3.53359e+06
O75503	O75503				1.41684e+06
O75509	O75509				3.08208e+06
O75629	O75629				954917
O75636;O75636-2	O75636;O75636-2				1.52555e+06
O75711	O75711				4.79112e+07
O75752	O75752				3.89178e+06
O75781;O75781-2	O75781;O75781-2				1.29124e+06
O75787;O75787-2	O75787;O75787-2				4.88764e+06
O75874	O75874				390753
O75882;O75882-2;O75882-3	O75882;O75882-2;O75882-3				1.25468e+07
O75973	O75973				109149
O75976	O75976;O75976-2				631548
O76061	O76061				1.83672e+06
O76070	O76070;Q16143				702921
O94760	O94760;O94760-2				3.4947e+06
O94766	O94766;Q9NPZ5				797145
O94769	O94769;O94769-2				6.11667e+06
O94772;O94772-2	O94772;O94772-2				3.67934e+07
O94856-12;O94856-4;O94856-9	O94856-12;O94856-4;O94856-9				1.77278e+06
O94856;O94856-11;O94856-13;O94856-6;O94856-7	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				1.27615e+07
O94910	O94910;O94910-2				4.82058e+06
O94919	O94919				1.233e+07
O94973;O94973-2	O94973;O94973-2				118580
O94985	O94985				937010
O94985-2	O94985;O94985-2				1.28016e+08
O94991	O94991;O94991-2				2.17845e+06
O95084;O95084-2	O95084;O95084-2				1.21416e+06
O95157	O95157				577975
O95158	O95158				1.4041e+07
O95185;O95185-2	O95185;O95185-2				2.03331e+06
O95196;O95196-2	O95196;O95196-2				1.25162e+07
O95206;O95206-2	O95206;O95206-2				2.76375e+06
O95390	O95390				1.35185e+06
O95428;O95428-5;O95428-6	O95428;O95428-3;O95428-4;O95428-5;O95428-6				4.9473e+06
O95445	O95445;O95445-2				1.47638e+07
O95450;O95450-2	O95450;O95450-2				834994
O95467	O95467				933901
O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7	O95490;O95490-2;O95490-3;O95490-4;O95490-5;O95490-6;O95490-7				313708
O95497	O95497				437358
O95502	O95502				8.24669e+07
O95633;O95633-2	O95633;O95633-2				702886
O95803;O95803-3;Q9H3R1	O95803;Q9H3R1;O95803-2;O95803-3				1.14538e+06
O95865	O95865				256785
O95897	O95897				300202
O95967	O95967				4.65696e+06
O95980	O95980				1.53093e+07
P00338;P00338-3	P00338;P00338-3;P00338-4				2.89601e+06
P00352	P00352				531174
P00390;P00390-2;P00390-3	P00390;P00390-2;P00390-3;P00390-4;P00390-5				2.25415e+06
P00441	P00441				1.03851e+08
P00450	P00450				1.64997e+08
P00488	P00488				1.76162e+06
P00492	P00492				704138
P00505	P00505;P00505-2				2.16054e+06
P00533;P00533-3;P00533-4	P00533;P00533-3;P00533-4				942512
P00558	P00558;P00558-2				2.41851e+06
P00734	P00734				3.88048e+07
P00736	P00736				4.84671e+07
P00738	P00738;P00738-2				7.07216e+08
P00739	P00739;P00739-2				3.70124e+08
P00740;P00740-2	P00740;P00740-2				3.31727e+06
P00742	P00742				4.97768e+06
P00746	P00746				7.89664e+06
P00747	P00747				1.32789e+08
P00748	P00748				2.01739e+07
P00751	P00751;P00751-2				1.92626e+08
P01008	P01008				5.57372e+08
P01009	P01009;P01009-2;P01009-3				2.18029e+09
P01011	P01011				6.22063e+08
P01019	P01019				3.63871e+08
P01023	P01023;P20742;P20742-2				1.98395e+08
P01024	P01024				1.31157e+09
P01031	P01031				2.61361e+07
P01033	P01033				4.11536e+07
P01034	P01034				1.73197e+09
P01036;P01037	P01036;P01037				471876
P01040	P01040				2.74825e+06
P01042	P01042;P01042-2;P01042-3				1.86963e+08
P01042-2;P01042-3	P01042-2;P01042-3				5.92389e+07
P01127;P01127-2	P01127;P01127-2				1.20866e+07
P01210	P01210				6.11115e+07
P01213	P01213				6.25647e+06
P01236	P01236				70203.3
P01258;P01258-2;P06881	P01258;P06881;P01258-2				366795
P01303	P01303				7.75329e+06
P01344;P01344-2;P01344-3	P01344;P01344-2;P01344-3				6.94389e+06
P01591	P01591				4.37962e+07
P01593;P01594	P01593;P01594				5.6667e+07
P01597;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				5.89142e+07
P01599	P01599;A0A0C4DH72				1.57032e+07
P01602	P01602				1.26191e+07
P01619	P01619				4.11582e+08
P01700	P01700				1.18721e+08
P01701	P01701				4.48606e+08
P01705	P01705				5.22522e+06
P01706	P01706				8.28962e+06
P01709	P01706;P01709;P0DOX8				2.20921e+07
P01714	P01714				8.68702e+06
P01715	P01715				4.86624e+06
